Time,Emotion
0.018651962280273438,neutral
0.15282058715820312,neutral
0.19543051719665527,neutral
0.22707056999206543,neutral
0.2895848751068115,neutral
0.3298072814941406,neutral
0.3707456588745117,neutral
0.4086263179779053,neutral
0.45624518394470215,neutral
0.5031344890594482,neutral
0.5975677967071533,neutral
0.6371958255767822,neutral
0.6840388774871826,neutral
0.7314543724060059,neutral
0.7940471172332764,neutral
0.8432533740997314,neutral
0.8807697296142578,neutral
0.9266767501831055,neutral
0.9739058017730713,neutral
1.0213842391967773,neutral
1.068274974822998,neutral
1.131169319152832,neutral
1.1892445087432861,neutral
1.236645221710205,neutral
1.2835216522216797,neutral
1.330887794494629,neutral
1.3778705596923828,neutral
1.4251785278320312,neutral
1.4641590118408203,neutral
1.5017147064208984,neutral
1.540238857269287,neutral
1.576770544052124,neutral
1.6134891510009766,neutral
1.6527791023254395,neutral
1.6966147422790527,neutral
1.735093355178833,neutral
1.7729933261871338,neutral
1.8103444576263428,neutral
1.8443629741668701,neutral
1.893385410308838,neutral
1.9400746822357178,neutral
2.0181939601898193,neutral
2.0655760765075684,neutral
2.112452268600464,neutral
2.1743338108062744,neutral
2.223843812942505,neutral
2.277515411376953,neutral
2.324744701385498,neutral
2.418552875518799,neutral
2.4630632400512695,neutral
2.4966683387756348,neutral
2.566049337387085,neutral
2.614790201187134,neutral
2.6626760959625244,neutral
2.722520589828491,neutral
2.7967822551727295,neutral
2.8449203968048096,neutral
2.8810293674468994,neutral
2.9437482357025146,neutral
2.9964816570281982,neutral
3.032325267791748,neutral
3.0704345703125,neutral
3.1097700595855713,neutral
3.14680814743042,neutral
3.196805477142334,neutral
3.242194175720215,neutral
3.2890686988830566,neutral
3.341297149658203,neutral
3.3926103115081787,neutral
3.4306275844573975,neutral
3.480193853378296,neutral
3.5374999046325684,neutral
3.608132839202881,neutral
3.7025396823883057,neutral
3.7498815059661865,neutral
3.7966575622558594,neutral
3.846911668777466,neutral
3.8793625831604004,neutral
3.9294683933258057,neutral
3.9629433155059814,neutral
4.00984787940979,neutral
4.057295083999634,neutral
4.10417103767395,neutral
4.151513576507568,neutral
4.198389291763306,neutral
4.2450807094573975,neutral
4.283079624176025,neutral
4.3238255977630615,neutral
4.36542272567749,neutral
4.400047540664673,neutral
4.448231935501099,neutral
4.480547666549683,neutral
4.527915954589844,neutral
4.574904441833496,neutral
4.624721050262451,neutral
4.6690990924835205,neutral
4.715880632400513,neutral
4.763177394866943,neutral
4.810053825378418,neutral
4.872982978820801,neutral
4.925117492675781,neutral
4.980099201202393,neutral
5.043092966079712,neutral
5.0899693965911865,neutral
5.137365818023682,neutral
5.184354305267334,neutral
5.231717348098755,neutral
5.278702020645142,neutral
5.326092004776001,neutral
5.372997283935547,neutral
5.419871807098389,neutral
5.466906785964966,neutral
5.514228582382202,neutral
5.561627626419067,neutral
5.608452320098877,neutral
5.655772924423218,neutral
5.702701568603516,neutral
5.74987268447876,neutral
5.7968292236328125,neutral
5.844191074371338,neutral
5.89105486869812,neutral
5.954047203063965,neutral
6.002425193786621,neutral
6.0335283279418945,neutral
6.0647852420806885,neutral
6.1117637157440186,neutral
6.159142255783081,neutral
6.2060182094573975,neutral
6.253321886062622,neutral
6.3001954555511475,neutral
6.347471475601196,neutral
6.3942711353302,neutral
6.441617012023926,neutral
6.4886016845703125,neutral
6.536892652511597,neutral
