Time,Emotion
0.018061161041259766,neutral
0.13320589065551758,neutral
0.1702582836151123,neutral
0.21864604949951172,neutral
0.26456713676452637,neutral
0.31203198432922363,neutral
0.35791873931884766,neutral
0.4096992015838623,neutral
0.4678151607513428,neutral
0.5158445835113525,neutral
0.5650308132171631,neutral
0.6234912872314453,neutral
0.6699011325836182,neutral
0.7198054790496826,neutral
0.7859408855438232,neutral
0.8454775810241699,neutral
0.9092257022857666,neutral
0.9719810485839844,neutral
1.0156950950622559,neutral
1.064744472503662,neutral
1.1331329345703125,neutral
1.2176570892333984,neutral
1.2627301216125488,neutral
1.3089489936828613,neutral
1.3579847812652588,neutral
1.4176936149597168,neutral
1.4645659923553467,neutral
1.5100946426391602,neutral
1.5568525791168213,neutral
1.598146677017212,neutral
1.6374130249023438,neutral
1.6769487857818604,neutral
1.7130520343780518,neutral
1.7654798030853271,neutral
1.856156826019287,neutral
1.9291884899139404,neutral
1.976858139038086,neutral
2.024766206741333,neutral
2.0653951168060303,neutral
2.101439952850342,neutral
2.151449203491211,neutral
2.19872784614563,neutral
2.245680570602417,neutral
2.2919259071350098,neutral
2.347001314163208,neutral
2.432375907897949,neutral
2.4801089763641357,neutral
2.5243735313415527,neutral
2.5776939392089844,neutral
2.6499686241149902,neutral
2.6983537673950195,neutral
2.7441024780273438,neutral
2.7852981090545654,neutral
2.8359196186065674,neutral
2.8830177783966064,neutral
2.9310221672058105,neutral
2.993820905685425,neutral
3.043872594833374,neutral
3.104198932647705,neutral
3.158094644546509,neutral
3.2140557765960693,neutral
3.2593791484832764,neutral
3.3064846992492676,neutral
3.3537449836730957,neutral
3.4009182453155518,neutral
3.447493314743042,neutral
3.493777275085449,neutral
3.540482997894287,neutral
3.587332010269165,neutral
3.6349198818206787,neutral
3.6710422039031982,neutral
3.713536024093628,neutral
3.7611634731292725,neutral
3.8065261840820312,neutral
3.853205442428589,neutral
3.9004595279693604,neutral
3.9458541870117188,neutral
3.9933478832244873,neutral
4.031629800796509,neutral
4.102240085601807,neutral
4.148897886276245,neutral
4.196072578430176,neutral
4.250391483306885,neutral
4.3196587562561035,neutral
4.3683483600616455,neutral
4.414272308349609,neutral
4.462784051895142,neutral
4.5097291469573975,neutral
4.5513529777526855,neutral
4.606352090835571,neutral
4.6537041664123535,neutral
4.701684236526489,neutral
4.748816251754761,neutral
4.804363250732422,neutral
4.911011695861816,neutral
4.966402769088745,neutral
5.013623237609863,neutral
5.1107378005981445,neutral
5.170602083206177,neutral
5.2179274559021,neutral
5.26466178894043,neutral
5.361770391464233,neutral
5.407921075820923,neutral
5.45344090461731,neutral
5.501790761947632,neutral
5.548706531524658,neutral
5.60546875,neutral
5.690418720245361,neutral
5.737205266952515,neutral
5.783705949783325,neutral
5.831712484359741,neutral
5.87858772277832,neutral
5.926327228546143,neutral
5.9730730056762695,neutral
6.021090269088745,neutral
6.06714940071106,neutral
6.11408805847168,neutral
6.160862684249878,neutral
6.206732988357544,neutral
6.254462957382202,neutral
6.302757263183594,neutral
6.349847316741943,neutral
6.397203683853149,neutral
6.442668676376343,neutral
6.489338636398315,neutral
6.538156747817993,neutral
6.583547115325928,neutral
6.630526304244995,neutral
6.679075717926025,neutral
6.725096940994263,neutral
6.789107084274292,neutral
6.834435701370239,neutral
6.882143020629883,neutral
6.929458856582642,neutral
6.976825475692749,neutral
7.024164915084839,neutral
7.077486991882324,neutral
7.151003122329712,neutral
7.212011814117432,neutral
7.274613380432129,neutral
7.319117784500122,neutral
7.3676769733428955,neutral
7.427083492279053,neutral
7.479679107666016,neutral
7.536251068115234,neutral
7.581514596939087,neutral
7.628978967666626,neutral
7.676160097122192,neutral
7.722497463226318,neutral
7.769910573959351,neutral
7.818235397338867,neutral
7.865097761154175,neutral
7.960064888000488,neutral
8.009472370147705,neutral
8.086895227432251,neutral
8.145251274108887,neutral
8.191628456115723,neutral
8.240160942077637,neutral
8.286956071853638,neutral
8.33347749710083,neutral
8.381435871124268,neutral
8.428048610687256,neutral
8.474745273590088,neutral
8.522197723388672,neutral
8.569091320037842,neutral
8.617414951324463,neutral
8.664469957351685,neutral
8.710986375808716,neutral
8.75892162322998,neutral
8.805394411087036,neutral
8.853242635726929,neutral
8.898650646209717,neutral
8.944988250732422,neutral
8.990470170974731,neutral
9.038232326507568,neutral
9.087663888931274,neutral
9.146698951721191,neutral
9.194279432296753,neutral
9.241854906082153,neutral
9.286059141159058,neutral
9.334324598312378,neutral
9.37949275970459,neutral
9.425802946090698,neutral
9.470828294754028,neutral
9.517009019851685,neutral
9.564627408981323,neutral
9.611587285995483,neutral
9.65850019454956,neutral
9.705711841583252,neutral
9.754512310028076,neutral
9.79895281791687,neutral
9.848664283752441,neutral
9.906327724456787,neutral
9.95357894897461,neutral
10.007782936096191,neutral
10.062962770462036,neutral
10.112342834472656,neutral
10.173330068588257,neutral
10.217734336853027,neutral
10.265633583068848,neutral
10.328991889953613,neutral
10.382206201553345,neutral
10.451678037643433,neutral
10.498559713363647,neutral
10.544949531555176,neutral
10.59157133102417,neutral
10.63973093032837,neutral
10.684955835342407,neutral
10.731595277786255,neutral
10.779972314834595,neutral
10.825477600097656,neutral
10.872209310531616,neutral
10.919487237930298,neutral
10.965960264205933,neutral
11.014329195022583,neutral
11.059738874435425,neutral
11.136917352676392,neutral
11.189790964126587,neutral
11.284220695495605,neutral
11.353756427764893,neutral
11.408553838729858,neutral
11.499257564544678,neutral
11.556240320205688,neutral
11.60359811782837,neutral
11.648942708969116,neutral
11.696808815002441,neutral
11.74227523803711,neutral
11.789881944656372,neutral
11.836657285690308,neutral
11.884750843048096,neutral
11.930363893508911,neutral
11.978273391723633,neutral
12.023642778396606,neutral
12.071276187896729,neutral
12.118544101715088,neutral
12.16466474533081,neutral
12.219522953033447,neutral
12.275018215179443,neutral
12.322513818740845,neutral
12.3693368434906,neutral
12.4155113697052,neutral
12.462557315826416,neutral
12.509722471237183,neutral
12.556065797805786,neutral
12.60152816772461,neutral
12.648518323898315,neutral
12.694973707199097,neutral
12.741404056549072,neutral
12.792986154556274,neutral
12.851337432861328,neutral
