Time,Emotion
0.024051189422607422,neutral
0.2331376075744629,neutral
0.4449803829193115,neutral
0.5325849056243896,neutral
0.6322450637817383,neutral
0.736396074295044,neutral
0.8331053256988525,sad
1.1976583003997803,neutral
1.3367748260498047,neutral
1.508758783340454,neutral
1.6113300323486328,neutral
1.7076325416564941,neutral
1.812507152557373,neutral
1.9109246730804443,neutral
2.0118467807769775,neutral
2.2131147384643555,neutral
2.309737205505371,neutral
2.45794677734375,neutral
2.571662664413452,neutral
2.665290594100952,neutral
2.850856065750122,neutral
2.9523348808288574,neutral
3.0513505935668945,neutral
3.146970272064209,neutral
3.2479610443115234,neutral
3.3522768020629883,neutral
3.453016757965088,neutral
3.553689479827881,neutral
3.663341522216797,neutral
5.226411819458008,neutral
5.4817750453948975,neutral
5.59495735168457,neutral
5.781812429428101,neutral
5.9646852016448975,neutral
6.085400342941284,neutral
6.218731880187988,neutral
6.344999313354492,neutral
6.4650983810424805,neutral
6.573279142379761,neutral
6.6767354011535645,neutral
6.79200291633606,neutral
6.907193899154663,neutral
7.020995855331421,neutral
7.129980564117432,neutral
7.246420860290527,neutral
7.456575155258179,neutral
7.579819917678833,neutral
7.695041179656982,neutral
7.817298889160156,neutral
7.952109098434448,neutral
8.054782629013062,neutral
8.162775039672852,neutral
8.267422676086426,neutral
8.377199649810791,neutral
8.494943380355835,neutral
8.60470700263977,neutral
8.710434436798096,neutral
8.809073686599731,neutral
8.917499303817749,neutral
9.017693996429443,neutral
9.116755247116089,neutral
9.217407941818237,neutral
9.316034317016602,neutral
9.422182321548462,neutral
9.53573989868164,neutral
9.647601842880249,neutral
9.749553680419922,neutral
9.851767301559448,neutral
9.963878393173218,neutral
10.06652569770813,neutral
10.160880327224731,neutral
10.253014087677002,neutral
10.357213973999023,neutral
10.453943490982056,neutral
10.553981065750122,neutral
10.650096893310547,neutral
10.747912168502808,neutral
10.848047733306885,neutral
10.958073377609253,neutral
11.059398174285889,neutral
11.158190488815308,neutral
11.252821922302246,neutral
11.353456735610962,neutral
11.447113513946533,neutral
11.545964241027832,neutral
11.6433265209198,neutral
11.738022327423096,neutral
11.83641529083252,neutral
11.927419900894165,neutral
12.034109830856323,neutral
14.597177267074585,sad
14.890425443649292,sad
15.087319135665894,sad
15.249584674835205,sad
15.354486227035522,sad
15.454381942749023,sad
15.55957841873169,sad
17.81906795501709,neutral
22.109314441680908,neutral
22.36798882484436,neutral
22.67308759689331,neutral
22.881329774856567,neutral
22.980483770370483,neutral
23.08335518836975,neutral
23.187690019607544,neutral
23.28941559791565,neutral
23.478189945220947,neutral
23.62989354133606,neutral
23.729013681411743,neutral
24.24027681350708,sad
24.334399700164795,neutral
24.538164377212524,sad
24.63679838180542,neutral
24.73508095741272,neutral
24.831434965133667,neutral
24.932621955871582,neutral
25.037662744522095,neutral
25.137667417526245,neutral
25.239981412887573,neutral
25.495404720306396,neutral
25.601393938064575,neutral
25.701648473739624,neutral
25.795246601104736,neutral
25.89488697052002,neutral
26.111693382263184,neutral
26.211344718933105,neutral
26.30997323989868,neutral
26.407084465026855,neutral
26.61180281639099,neutral
26.709188222885132,neutral
26.817530155181885,neutral
26.926690101623535,neutral
27.03037166595459,neutral
27.13903832435608,neutral
27.246328353881836,neutral
27.388208150863647,neutral
27.485393524169922,neutral
27.585540294647217,neutral
27.692703247070312,neutral
27.791366577148438,neutral
27.89398741722107,neutral
27.996826648712158,neutral
28.103480577468872,neutral
28.211147785186768,neutral
28.309415102005005,neutral
28.404549837112427,neutral
29.163718223571777,sad
29.45272135734558,sad
30.25498652458191,sad
30.355247497558594,sad
30.460763692855835,sad
30.561879873275757,sad
30.660876274108887,sad
30.763330698013306,sad
31.2258403301239,neutral
31.329041957855225,neutral
31.42369270324707,neutral
31.77935266494751,neutral
31.885008335113525,neutral
31.990692615509033,neutral
32.09199929237366,neutral
32.20536231994629,neutral
32.30069923400879,neutral
32.4033637046814,neutral
32.49800896644592,neutral
33.33098483085632,neutral
33.428141832351685,neutral
33.51914405822754,neutral
34.20172119140625,neutral
34.46555948257446,neutral
34.62234401702881,neutral
34.7209837436676,neutral
34.82425546646118,neutral
34.92069888114929,neutral
35.02125787734985,neutral
35.125399351119995,neutral
35.22606015205383,neutral
35.32771158218384,neutral
35.427353620529175,neutral
35.535717248916626,neutral
35.63536357879639,neutral
35.738991260528564,neutral
35.84268665313721,neutral
35.94575810432434,neutral
36.04390740394592,neutral
36.141621589660645,neutral
36.23926305770874,neutral
36.339014768600464,neutral
36.437164545059204,neutral
36.54484486579895,neutral
36.65352463722229,neutral
36.75103259086609,neutral
36.85132122039795,neutral
36.956454038619995,neutral
37.11372184753418,neutral
37.21485090255737,neutral
37.31950044631958,neutral
37.41812562942505,neutral
37.52082657814026,neutral
37.66469693183899,neutral
37.77336096763611,neutral
37.879746437072754,neutral
37.98747754096985,neutral
38.100576400756836,neutral
38.21585702896118,neutral
38.3335235118866,neutral
38.446494579315186,neutral
38.56139135360718,neutral
38.6712429523468,neutral
38.78441095352173,neutral
38.90101933479309,neutral
39.01236128807068,neutral
39.13407516479492,neutral
39.24899339675903,neutral
39.361711263656616,neutral
39.46619486808777,neutral
39.579885959625244,neutral
39.69452118873596,neutral
39.81722021102905,neutral
39.92739748954773,neutral
40.040589332580566,neutral
40.14424204826355,neutral
40.24732732772827,neutral
40.35246658325195,neutral
40.447604179382324,neutral
40.547751665115356,neutral
40.64708924293518,neutral
40.757817029953,neutral
40.865970611572266,neutral
40.970643758773804,neutral
41.07429003715515,neutral
41.17452311515808,neutral
41.2778046131134,neutral
41.39389228820801,neutral
41.505621671676636,neutral
41.613606214523315,neutral
41.71407771110535,neutral
41.82308483123779,neutral
41.92074489593506,neutral
43.031720876693726,neutral
43.36120653152466,neutral
43.46812629699707,neutral
43.57598805427551,neutral
43.681060552597046,neutral
45.521316051483154,neutral
45.94278335571289,neutral
46.04616093635559,neutral
46.14378833770752,neutral
46.3579375743866,neutral
46.463021755218506,neutral
46.58608913421631,neutral
46.70786499977112,neutral
46.82433795928955,neutral
47.45903563499451,neutral
47.57697081565857,neutral
47.783724546432495,neutral
47.88639235496521,neutral
47.99060416221619,neutral
48.105340242385864,neutral
48.86558771133423,sad
49.07457113265991,neutral
49.2530198097229,neutral
49.3729202747345,neutral
49.485496044158936,neutral
49.59200191497803,neutral
49.69902324676514,neutral
50.31682586669922,neutral
50.420533895492554,neutral
50.5317747592926,neutral
50.73190999031067,neutral
50.93986773490906,neutral
51.0450484752655,neutral
51.14921569824219,neutral
52.71259808540344,neutral
52.81959891319275,neutral
52.922826051712036,neutral
53.02698755264282,neutral
53.34766411781311,neutral
53.45683670043945,neutral
53.563987493515015,neutral
53.772281885147095,neutral
53.87413549423218,neutral
54.129416704177856,sad
54.23352289199829,sad
54.33768653869629,sad
54.44511413574219,sad
54.540589332580566,sad
55.37547540664673,neutral
55.47745156288147,neutral
55.58712458610535,neutral
